Country,code2,code,Rank-2015,Happiness-Score-2015,GDP-2015,Social-Support-2015,Healthy-Life-Expectancy-2015,Freedom-2015,Trust-2015,Generosity-2015,Dystopia-2015,Region,Rank-2016,Happiness-Score-2016,GDP-2016,Social-Support-2016,Healthy-Life-Expectancy-2016,Freedom-2016,Trust-2016,Generosity-2016,Dystopia-2016,Rank-2017,Happiness-Score-2017,GDP-2017,Social-Support-2017,Healthy-Life-Expectancy-2017,Freedom-2017,Generosity-2017,Trust-2017,Dystopia-2017,Rank-2018,Happiness-Score-2018,GDP-2018,Social-Support-2018,Healthy-Life-Expectancy-2018,Freedom-2018,Generosity-2018,Trust-2018,Dystopia-2018,Rank-2019,Happiness-Score-2019,GDP-2019,Social-Support-2019,Healthy-Life-Expectancy-2019,Freedom-2019,Generosity-2019,Trust-2019,Dystopia-2019,Rank-2020,Happiness-Score-2020,GDP-2020,Social-Support-2020,Healthy-Life-Expectancy-2020,Freedom-2020,Generosity-2020,Trust-2020,Dystopia-2020,Rank-2021,Happiness-Score-2021,GDP-2021,Social-Support-2021,Healthy-Life-Expectancy-2021,Freedom-2021,Generosity-2021,Trust-2021,Dystopia-2021,Rank-2022,Happiness-Score-2022,Dystopia-2022,GDP-2022,Social-Support-2022,Healthy-Life-Expectancy-2022,Freedom-2022,Generosity-2022,Trust-2022,Rank-2023,Happiness-Score-2023,GDP-2023,Social-Support-2023,Healthy-Life-Expectancy-2023,Freedom-2023,Generosity-2023,Trust-2023,Dystopia-2023,Avg-Happiness-Score
Mauritania,mr,MRT,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,Sub-Saharan Africa,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,1.651637316,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,1.906,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2.004,129,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,134,4.227,0.666,0.749,0.273,0.218,0.119,0.133,2.069,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,103,4.724,1.099,0.764,0.244,0.32,0.13,0.195,1.973,4.387574969
Kenya,ke,KEN,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,Sub-Saharan Africa,122,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,1.651902199,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,1.504,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,1.577,121,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575,121,4.607,0.603,0.508,0.385,0.483,0.375,0.073,2.18,119,4543.00,1661.00,1032.00,605.00,401.00,440.00,322,82,111,4.487,1.051,0.881,0.19,0.418,0.291,0.055,1.601,4.49050002
Djibouti,dj,DJI,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.546125
Armenia,am,ARM,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,Central and Eastern Europe,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,1.521499157,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028,1.484,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,1.397,116,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,86,5.283,0.996,0.758,0.585,0.54,0.079,0.198,2.127,82,5399.00,1654.00,1434.00,820.00,668.00,558.00,54,210,79,5.342,1.466,1.134,0.443,0.551,0.053,0.16,1.534,4.658474963
Botswana,bw,BWA,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,Sub-Saharan Africa,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,0.377913713,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,0.291,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,0.184,147,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,146,3.467,1.099,0.724,0.34,0.539,0.027,0.088,0.648,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,132,3.435,1.471,1.041,0.087,0.48,0.021,0.071,0.264,3.691362498
Myanmar,mm,MMR,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,Southeastern Asia,119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,1.115290403,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178,0.667,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,0.651,133,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,126,4.426,0.666,0.713,0.341,0.601,0.52,0.178,1.407,126,4394.00,877.00,1038.00,829.00,491.00,513.00,452,194,117,4.372,1.032,1.125,0.269,0.46,0.4,0.194,0.893,4.377625021
Georgia,ge,GEO,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,Central and Eastern Europe,126,4.252,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215,1.624,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,1.662,117,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831,108,4.891,1.03,0.47,0.498,0.488,0.032,0.181,2.191,105,4973.00,1583.00,1467.00,612.00,595.00,508.00,0,208,90,5.109,1.477,0.947,0.366,0.539,0,0.201,1.58,4.545824946
Malawi,mw,MWI,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,Sub-Saharan Africa,132,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,2.081786156,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08,1.733,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,1.414,145,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,144,3.6,0.113,0.168,0.298,0.484,0.213,0.134,2.19,138,3750.00,1661.00,648.00,279.00,388.00,477.00,140,157,131,3.495,0.637,0.479,0.189,0.49,0.139,0.129,1.432,3.756000017
Sri Lanka,lk,LKA,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,Southern Asia,117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,120,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,0.419389248,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05,0.625,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,0.56,130,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,129,4.325,0.99,0.82,0.593,0.559,0.239,0.049,1.075,127,4362.00,595.00,1415.00,934.00,660.00,529.00,150,79,112,4.442,1.422,1.224,0.426,0.539,0.12,0.086,0.625,4.382125025
Cameroon,cm,CMR,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,Sub-Saharan Africa,114,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,2.333645582,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043,2.687,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2.649,98,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,91,5.142,0.543,0.556,0.159,0.425,0.205,0.058,3.195,102,5048.00,2469.00,968.00,672.00,317.00,397.00,152,74,96,4.973,0.965,0.871,0.118,0.405,0.144,0.059,2.411,4.834862509
